Dusun,English,Type,Malay,Category,Variants
haor,"feeling with hand without seeing","verb ",meraba,root,
hapak,"go infront of","verb ",menghadap,root,
harapan,hope,noun,harapan,"ideas & emotions",imanon
"harapon daa doh amu atagak ti numbur mantad pomusarahan nu songira ko'd korikot walai","hopefully this number won’t slip your mind when you get home",sentence,"diharapkan nombor ini tidak akan hilang dari ingatan bila kamu sampai rumah",,
"harapon dot asalamat ko saralom pogindalanan","may you have a safe journey",sentence,"semoga kamu selamat dalam perjalanan",declarative,
"harapon dot tumopot ih tongo nipi nu","may your dreams come true",sentence,"semoga impian kamu menjadi kenyataan",declarative,
"harapon ih kadamaian miampai diya","may peace be with you",sentence,"semoga kedamaian menyertai kamu",declarative,
"harapon oku nopo","trust me",sentence,"percayailah saya",declarative,
"harapon ti toun mogowit kajayaan kumaa diya","may this year bring you success",sentence,"semoga tahun ini membawa kejayaan kepada kamu",declarative,
"hari ampat",Thursday,"noun ",Khamis,"time, events & quantities",
"hari anam",Saturday,"noun ",Sabtu,"time, events & quantities",
"hari dua",Tuesday,"noun ",Selasa,"time, events & quantities",
"hari lima",Friday,"noun ",Jumaat,"time, events & quantities",
"hari minggu",Sunday,"noun ",Ahad,"time, events & quantities",
"hari nunu aantakan dih hari jadi nu?","what day does your birthday fall on?",sentence,"hari lahir kamu jatuh pada hari apa?",interrogative,
"hari satu",Monday,"noun ",Isnin,"time, events & quantities",
"hari satu, miruba yati koimbagu","on Monday, we will meet again",sentence,"pada hari Isnin, kita akan bertemu semula",declarative,
"hari tiga",Wednesday,"noun ",Rabu,"time, events & quantities",
haribulan,date,noun,tarikh,"time, events & quantities",
harijadi,birthday,noun,harijadi,"ideas & emotions",
harimau,tiger,noun,harimau,animals,
haro,have,verb,ada,,waro
haro,"there is",verb,ada,,waro
"haro 2 durian nolohou dih kosuabon","there were 2 durians that fell this morning",sentence,"ada 2 buah durian jatuh pagi tadi",declarative,
"haro bilin dih Mary doho?","Mary has a message for me?",sentence,"Mary ada bagi pesan kepada saya?",interrogative,
"haro budak sikul monigup hiri'd jamban","there's a student smoking in the toilet",sentence,"ada pelajar merokok di dalam tandas",declarative,
"haro dagangon sada doh hiti?","is there fish for sale here?",sentence,"ada jual ikan di sini?",interrogative,
"haro dokou ih amu komilo momodoribal doh kurita","Some of you don't know how to drive a car",sentence,"ada di antara anda yang tidak tahu memandu kereta",declarative,
"haro duo bakas id susut dih walai dau","there are two wild boars under his house",sentence,"ada dua ekor babi hutan di bawah rumahnya",declarative,
"haro duo sungang poinsako hilo'd raan doh kayu","there are two hornbills perched on a tree branch",sentence,"ada dua ekor burung enggang bertenggek di dahan pokok",declarative,
"haro duo tulun pandatang haram tinangkap doh pulis","the police have arrested two illegal immigrants",sentence,"polis telah menangkap dua orang pendatang tanpa izin",declarative,
"haro haal kumaa dati ti?","does this affect us?",sentence,"adakah ini memberi kesan kepada kita?",declarative,
"haro hiti'd doho duo gambar UFO","I have two photos of UFO",sentence,"saya ada dua gambar UFO",declarative,
"haro hiti'd doho ogumu gambar dih sumandak ku","I have many photos of my girlfriend",sentence,"saya ada banyak gambar kekasih saya",declarative,
"haro horogo dih koposion nu","your life has value",sentence,"nyawa anda bernilai",declarative,
"haro ih linso doh punti?","does a banana have seeds?",sentence,"adakah pisang mempunyai biji?",interrogative,
"haro ih momumutanom mananom turus hilo'd ranahon","some farmers plant rice directly in the field",sentence,"sesetengah petani menanam padi terus di sawah",declarative,
"haro ih tombuagang turus palan-palan sumusu gisom koodop","some babies will continue to suck slowly until they fall asleep",sentence,"sesetengah bayi akan terus menghisap dengan perlahan sehingga tertidur",declarative,
"haro jasa tagayo  tomod  dau kumaa doho","she did me a great favour",sentence,"dia telah membuat jasa besar kepada saya",declarative,
"haro kadai Bataras mangan ukabo hilo'd Lahad Datu","a new Bataras shop will be opened in Lahad Datu",sentence,"ada kedai baru  Bataras akan dibuka di Lahad Datu",declarative,
"haro kadai makan vegetarian hiti?","is there a vegetarian restaurant here",sentence,"ada kedai makan vegetarian di sini?",declarative,
"haro kaitan dih surita dau om ih kinaantakan","his story has some relation to the incident",sentence,"ceritanya ada kaitan dengan kejadian itu",declarative,
"haro kajadian hilo'd sikul nondo","something is going on  at school now",sentence,"sesuatu sedang berlaku di sekolah sekarang",declarative,
"haro kalab doh sikul suangon nu?","are you joining any school clubs?",sentence,"adakah kamu menyertai mana-mana kelab sekolah?",interrogative,
"haro karabau mabu-habu hilo’d tanga rahat","there is a buffalo floating in the middle of the sea",sentence,"ada kerbau terapung-apung di tengah laut",declarative,
"haro karan ti wayar","this wire has electricity",sentence,"dawai ini ada eletrik",declarative,
"haro kayakinan dau moros-boros id dapan tulun togumu","he has the confidence to speak in public",sentence,"dia mempunyai keyakinan untuk bercakap di hadapan orang ramai",declarative,
"haro kobulihan dau jumadi panyanyi","he is capable of becoming a singer",sentence,"dia berkebolehan untuk menjadi seorang penyanyi",declarative,
"haro komilo monguhup doho mangakat ti mija?","is there anyone who can help me lift this table?",sentence,"ada sesiapa yang boleh bantu saya mengangkat meja ini?",interrogative,
"haro kosonongon taanu nu mantad doh hiti?","are there any benefits you can get from here?",sentence,"ada kebaikan yang kamu boleh perolehi dari sini?",interrogative,
"haro kusai dih amu insan haro kurita","there are men who have never owned a car",sentence,"ada lelaki yang tidak pernah memiliki kereta",declarative,
"haro limit",limited,sentence,terhad,declarative,
"haro masa dapan dato ngoduo?","do we both have a future together?",sentence,"adakah kita berdua mempunyai masa depan bersama?",interrogative,
"haro masalah boros dih tanak mantad dih tokoro poh","the child has had a speech problem since young",sentence,"kanak-kanak itu mengalami masalah pertuturan sejak kecil",declarative,
"haro masalah dahai dih pembekal","we had problems with the supplier",sentence,"kami menghadapi masalah dengan pembekal",declarative,
"haro mononglous hiti kampung","there is a famine in the country",sentence,"terdapat kebuluran di negara itu",declarative,
"haro moti kapal mantad KL kumaa turus hilo'd Tawau","there is a direct flight from KL to Tawau",sentence,"ada penerbangan terus dari KL ke Tawau",declarative,
"haro noh isai-isai nokokot dih tasu nu?","has anyone ever been bitten by your dog?",sentence,"ada sudah sesiapa yang pernah digigit oleh anjing kamu?",interrogative,
"haro noh kolisihan nu?","do you already have a lover?",sentence,"kamu sudah ada kekasih?",interrogative,
"haro noh koputusan?","any result yet?",sentence,"ada keputusan sudah?",interrogative,
"haro noh kosimbanon mantad dih konihab?","any changes since yesterday?",sentence,"ada perubahan sejak kelmarin?",declarative,
"haro noh sanganu diya?","does anyone own you?",sentence,"ada sesiapa memiliki anda?",interrogative,
"haro noh tanakwagu dilo sumandak nu?","does your daughter have a boyfriend?",sentence,"ada teman lelaki sudahkah anak perempuan kamu?",interrogative,
"haro nokito ku tolu tanak tungau nidaan dih molohing dau hilo'd disan talun-alun","I saw three kittens that were abandoned by their mother at the roadside",sentence,"saya melihat tiga ekor anak kucing yang ditinggalkan ibunya di tepi jalan raya",declarative,
"haro nuluhon otomou hilo'd sodu","there is a green hill far away",sentence,"terdapat bukit hijau di kejauhan",declarative,
"haro ogumu poh poluang koimbagu","there will be many more opportunities later",sentence,"akan ada banyak lagi peluang kemudian",declarative,
"haro pangaru",influential,sentence,berpengaruh,declarative,
"haro pinogiumangan salapas nakalasu ih pisongkialan","a fight broke out after a heated argument",sentence,"pergaduhan tercetus selepas pertengkaran hangat",declarative,
"haro pogoduhan takaras pasal pogosuan haram","there is a strict prohibition against illegal hunting",sentence,"terdapat larangan keras terhadap pemburuan haram",declarative,
"haro poh","available ",phrase,tersedia,,
"haro poh kadai momojual doh pilim komira?","are there still shops that sell camera film?",sentence,"ada lagikah kedai menjual filem kamera?",interrogative,
"haro poh tanak nu dih ahapakan poh?","do you still have children who are still teenagers?",sentence,"kamu masih ada nak yang masih remaja?",interrogative,
"haro poh tulun hiti Sabah amu nokoumbal mongoi hiti KK?","are there still people in Sabah who have never gone to KK?",sentence,"adakah lagi orang di Sabah yang tidak pernah pergi ke KK?",interrogative,
"haro poh tusin nu?","do you still have money?",sentence,"kamu masih ada duit?",interrogative,
"haro pooh noolu ih kayu balak hilo'd Telupid?","is there any timber left in Telupid?",sentence,"ada lagi kayu balak yang tinggal di Telupid?",interrogative,
"haro porubahan dih parangai dau?","any changes in her attitude?",sentence,"ada perubahan pada sikapnya?",interrogative,
"haro porubahan tokuri","there's a slight chance ",sentence,"ada sedikit perubahan",declarative,
"haro potensi nu jumadi pomimpin","you have the potential to become a leader",sentence,"kamu ada potensi menjadi seorang pemimpin",declarative,
"haro ransangan nu suai-suai totuong baino?","do you have any other plans tonight?",sentence,"adakah kamu mempunyai rancangan lain malam ini?",declarative,
"haro sale nondo hilo'd Imago","there is a sale now in Imago",sentence,"sekarang ada jualan di Imago",declarative,
"haro suai-suai tuni kurita ku mantad poh dih kosuabon","my car has been making a strange noise since this morning",sentence,"kereta saya ada bunyi pelik sejak pagi tadi",declarative,
"haro suang barait nu?","is there anything in your basket?",sentence,"bakul kamu ada isi?",interrogative,
"haro sumandak nu?","do you have a girlfriend?",sentence,"kamu ada sumandak?",interrogative,
"haro tambalut ku hilo sikul doh akaya tomod","I have a friend at school who is very rich",sentence,"saya ada kawan di sekolah yang sungguh kaya",declarative,
"haro tanak ku roitan ti' John","I have a son named John",sentence,"saya ada anak bernama John",,
"haro tasu minangakan dih tongo piak ku","a dog ate my chick",sentence,"ada anjing makan anak ayam saya",declarative,
"haro tokuri","there's a bit",sentence,"ada sikit-sikit",declarative,
"haro tompinai nu poinsikul hilo'd UMS?","do you have siblings who study at UMS?",sentence,"kamu ada adik beradik yang sekolah di UMS?",interrogative,
"haro tulun hiti?","is there anyone here?",sentence,"ada sesiapa di sini?",interrogative,
"haro tulun koilo?","does anyone know?",sentence,"ada seiapa yang tahu?",interrogative,
"haro tulun komilo mamain ilo piano?","can anyone play the piano?",sentence,"ada sesiapa yang boleh main piano itu?",interrogative,
"haro tulun komilo manahak doho dih sisimbar koontok?","can anyone give me the correct answer?",sentence,"ada sesiapa yang boleh memberi saya jawapan yang betul?",interrogative,
"haro tulun minamadam toinsanan bidio hiri's suang do henpon ku","someone deleted all the videos on my phone",sentence,"seseorang telah memadam semua video dalam telefon bimbit saya",declarative,
"haro tulun minomogarit dih kurita nu","somebody scratched your car",sentence,"ada orang calar kereta kamu",declarative,
"haro tulun misasawo naratu mantad bosikol om nokosuang doh parit hilo'd kampung dahai","a husband and wife fell from their bicycle and into a ditch in our village",sentence,"ada pasangan suami isteri jatuh dari basikal dan termasuk ke dalam parit di kampung kami",declarative,
"haro tulun nokoontut hilo'd bilik tokoro","someone has farted in that cubicle",sentence,"seseorang telah kentut di dalam bilik kecil itu",declarative,
"haro tulun osipat balajar mantad ko suai","some people learn faster than others",sentence,"sesetengah orang belajar lebih cepat daripada orang lain",declarative,
"haro tungau ku","I have a cat",sentence,"saya ada seekor kucing",declarative,
"haro tusin nu?","do you have money?",sentence,"kamu ada duit?",interrogative,
"haro tusin nu? oo, haro ih","do you have money? yes, I have",sentence,"ada duit kamu? ya, ada",interrogative,
"haro Wi-Fi walai nu?","does your house have Wi-Fi?",sentence,"rumah kamu ada Wi-Fi?",interrogative,
"hati-hati ih budak sikul minonimbar di poguhatan","the student answered the questions carefully",sentence,"pelajar itu menjawab soalan dengan berhati-hati",declarative,
"hati-hati noh doh hilo'd talun-alun doh dungotuong","be careful on the road at night",sentence,"berhati-hati di jalan raya pada waktu malam",declarative,
"hati-hati noh, haro kasa nababak doh hino","be careful, there is broken glass there",sentence,"hati-hati, ada kaca pecah di situ",declarative,
"hati-hati songira momoguna ti misin","be careful when using this machine",sentence,"berhati-hati ketika menggunakan mesin ini",declarative,
"hati-hati yahai songira minokiboros doh tulun amu otutunan","we are careful when talking to strangers",sentence,"kami berhati-hati semasa bercakap dengan orang asing",declarative,
"hati-hati yati doh momili doh koruhang","we choose our partner carefully",sentence,"kita pilih pasangan kita dengan berhati-hati",declarative,
hatus,"one hundred",number,seratus,,
"hatus apat nohopod","one hundred forty",number,"seratus empat puluh",,
"hatus duo nohopod","one hundred twenty",number,"seratus dua puluh",,
"hatus duo nohopod om duo","one hundred twenty-two",number,"seratus dua puluh dua",,
"hatus duo nohopod om iso","one hundred twenty-one",number,"seratus dua puluh satu",,
"hatus hopod","one hundred and ten",number,"seratus sepuluh",,
"hatus hopod om duo","one hundred twelve",number,"seratus duabelas",,
"hatus hopod om iso","one hundred eleven",number,"seratus sebelas",,
"hatus om apat","one hundred and four",number,"seratus empat puluh",,
"hatus om duo","one hundred and two",number,"seratus dua",,
"hatus om iso","one hundred and one",number,"seratus satu",,
"hatus om tolu","one hundred and three",number,"seratus tiga",,
"hatus siam nohopod om siam","one hundred ninety-nine",number,"seratus sembilan puluh sembilan",,
"hatus tolu nohopod","one hundred thirty",number,"seratus tiga puluh",,
haun,cloud,noun,awan,"objects & tools",
hedpon,headphones,noun,"fon kepala","objects & tools",
henpon,cellphone,noun,"telefon bimbit","objects & tools",
hiburan,amusement,noun,hiburan,"ideas & emotions",
hilo,"over there",connector,sana,preposition,
"hilo ih John minomosik doho","John was there to wake me up",sentence,"John ada di situ untuk membangunkan saya",declarative,
"hilo ko walai ti totuong?","will you be home tonight?",sentence,"adakah kamu akan berada di rumah malam ini?",interrogative,
"hilo noh sompogunan ngaii monongodu doho","all my grandchildren have gone overseas",sentence,"cucu-cucu saya semuanya di seberang laut",declarative,
"hilo oku dih haaii","i was there just now",sentence,"saya di sana tadi",declarative,
"hilo oku labus mononsu dih kosuabon","I took a shower outside this morning",sentence,"Saya mandi di luar pagi ini",declarative,
"hilo oku taman joging tu' asalamt hilo","I jog at the park because it is safe there",sentence,"Saya berjoging di taman kerana selamat di sana",declarative,
"hilo yau walai monongodou","he spent the whole day at home",sentence,"dia menghabiskan sepanjang hari di rumah",declarative,
hilo'd,"over there",connector,"di sana",preposition,"hilo id"
hilo'd,"over there",connector,"di sana",preposition,
"hilo'd bilik tadon dih tuni","the sound comes from the room",sentence,"bunyi itu datang dari bilik",declarative,
"hilo'd konuluhonan yolo momonsoi pilim","they filmed in the mountains",sentence,"mereka membuat penggambaran di pergunungan",declarative,
"hilo'd labus yahai mamain maso dih tokoro poh","we played outside every day as children",sentence,"kami bermain di luar setiap hari semasa kecil",declarative,
"hilo'd sodu","far away",phrase,"nun jauh",,
"hilo'd tampat suai","somewhere else",sentence,"di lain tempat",declarative,
"hilo'd walai yau minagaii dih hujung minggu dau","he spends his weekends at home",sentence,"dia menghabiskan hujung minggunya di rumah",declarative,
hinava,"raw fish marinated with lime juice, ginger, chili",noun,hinava,"food & drink",
hino,there,adverb,"di situ",,
"hino ko noh","see you",phrase,"jumpa lagi",,
"hino ko noh",goodbye,phrase,"selamat tinggal",,
hino'd,"over there",adverb,"di situ",,"hino id"
hinombo,where,adverb,mana,,
"hinombo binolian nu ino sokirim?","where did you buy that ice cream?",sentence,"di mana kamu beli aiskrim itu?",interrogative,
"hinombo kinapataion dih tungau nu?","where did your cat die?",sentence,"di mana kucing kamu mati?",interrogative,
"hinombo ko nokokito dau?","where did you see her?",sentence,"di mana kamu ternampak dia?",interrogative,
"hinombo ko'd minongilagup?","where did you wash your face?",sentence,"di mana kamu cuci muka?",interrogative,
"hinombo ko'd poingion di gulu?","where did you live last time?",sentence,"di mana kamu tinggal dahulu?",interrogative,
"hinombo ko'd suminikul di gulu?","where did you go to school?",sentence,"di mana kamu sekolah dahulu?",interrogative,
"hinombo nokokitanan nuh dih tamas?","where did you find the gold?",sentence,"di mana kamu jumpa emas itu?",interrogative,
"hinombo nongoi dau?","where did she go?",sentence,"dia pergi ke mana?",interrogative,
"hinombo nongoi ngawi tulun ti?","where did everyone go?",sentence,"di mana semua orang pergi ini?",interrogative,
"hinombo nongoi nu kosodop?","where did you go last night?",sentence,"di mana kamu pergi semalam?",interrogative,
"hinombo oku nokoruba diya?","where did I meet you?",sentence,"di mana saya pernah jumpa kamu?",interrogative,
"hinombo osorou nu paling tohuri ko'd poingigit?","where was the last place you remember having it?",sentence,"di mana tempat terakhir anda ingat anda memilikinya?",interrogative,
"hinombo pinaatadan nu dih Mary?","where did you send Mary?",sentence,"di mana kamu hantar Mary",interrogative,
"hinombo pinongonuan diyolo doh tusin montok ti purujik?","where did they get the funding for this project?",sentence,"di mana mereka dapat duit untuk projek ini?",interrogative,
"hinombo pinongonuan nu ti piasau?","where did you get this coconut?",sentence,"di mana kamu dapat kelapa ini?",interrogative,
"hinombo ralan mongoi hilo'd tingkat 7?","where is the way to the 7th floor",sentence,"di mana jalan ke tingkat 7?",interrogative,
"hinombo tadon dih tuni? Ih tinggin, ih tayar, ko' id susut kurita?","where is the sound coming from? The engine, the tyres, or under the car?",sentence,"bunyi di bahagian mana? Enjin, tayar, atau bawah kereta?",interrogative,
"hinombo tadon nu baino?","where did you come from this time?",sentence,"dari mana kamu datang kali ini?",interrogative,
"hinombo tadon nu?","where did you come from?",sentence,"dari mana kamu?",interrogative,
"hinombo tadon pinongonuan nu dih botori pinonitat kurita dih John?","where did you get the battery used to start John’s car?",sentence,"dari mana anda ambil bateri yang digunakan untuk menghidupkan kereta John?",interrogative,
"hinombo yakau nokopitambi?","where did you two meet?",sentence,"di mana kamu berdua berjumpa?",interrogative,
hinonggo,where,adverb,"di mana",,
"hinonggo ko konihab?","where were you yesterday?",sentence,"di mana kamu kelmarin?",interrogative,
"hinonggo ko'd nokoruba dau?","where did you meet her?",sentence,"di mana kamu jumpa dia?",interrogative,
"hinonggo nongoi nu?","where did you go?",sentence,"di mana kamu pergi?",interrogative,
"hiri ko id pomurangadan ku kasari","you are always in my thoughts",sentence,"dirimu selalu ada dalam fikiranku",declarative,
"hiri ko'd pomurangadan ku kasari","you’re always on my mind",sentence,"kamu sentiasa dalam fikiran saya",declarative,
"hiri'd suang doh sansag pamasangan dih wayar lotirik","electric cables are installed inside the walls",sentence,"kabel elektrik dipasang di dalam dinding",declarative,
hiti,here,connector,sini,preposition,
"hiti oku poh KK","I'm still in KK",sentence,"saya masih lagi di KK",declarative,
"hiti oku poporikot doh kabar tosonong","I am here to bring good news",sentence,"saya di sini untuk membawa berita baik",declarative,
"hiti oku's Sabah","I'm based in Sabah",sentence,"saya berada di Sabah",declarative,
"hiti yahai rumuba diolo","we are here to see them",sentence,"kami disini untu berjumpa dengan mereka",declarative,
hiti'd,here,adverb,"di sini",,
"hobi ku nopo nga mimbuul","my hobby is playing football ",sentence," hobi saya ialah bermain bola",declarative,
hokbat,sermon,noun,kotbah,"ideas & emotions",
"hombo gisom lisi nu kumaa doho?","how much do you love me?",sentence,"setakat mana cinta kau kepada saya?",,
hompit,include,"verb ",libat,root,
hondom,remember,"verb ",ingat,root,
hondomo,"remember it",verb,ingatlah,,
"hondomo noh doh mamajaga koborisihan dau","remember to keep it clean",sentence,"ingat untuk menjaga kebersihannya",declarative,
hondomon,remember,verb,ingat,,
"hondomon ku iya","I will remember you",sentence,"saya akan ingat kamu",declarative,
"hondomon oku noh diya","please remember me",sentence,"tolong ingati saya",declarative,
honggo,where,adverb,mana,,
"honggo ko'd makan?","where are you eating?",sentence,"di mana kamu makan?",interrogative,
"honggo ko'd modop totuong?","where are you going to sleep tonight?",sentence,"di mana kamu tidur malam ini?",interrogative,
"honggo ko'd pakaraja atau balajar?","where do you work or study?",sentence,"di mana kamu bekerja atau belajar?",interrogative,
"honggo ngoyon nu?","where are you going?",sentence,"di mana kamu pergi?",interrogative,
hoon,honk,noun,hon,"objects & tools",
hoos,hose,noun,hos,"objects & tools",
hopod,ten,number,sepuluh,,
"hopod noh tadau amu nokoirak ih Mary","Mary hasn’t laughed for ten days",sentence,"sudah sepuluh hari Mary tidak ketawa",declarative,
"hopod noh toun dau nakajadi YB doh hiti nga aiso kasari kamajuan ti kampung dahai","he has been the assemblyman (YB) here for ten years, but there has been no progress in our village",sentence,"sudah sepuluh tahun dia menjadi YB di sini tapi belum ada kemajuan di kampung kami",declarative,
"hopod noribu","ten thousand",number,"sepuluh ribu",,
"hopod om apat",fourteen,number,empatbelas,,
"hopod om duo",twelve,number,"dua belas",,
"hopod om iso",eleven,number,sebelas,,
"hopod om limo",fifteen,number,"lima belas",,
"hopod om onom",sixteen,number,"enam belas",,
"hopod om siam",nineteen,number,"sembilan belas",,
"hopod om tolu",thirteen,number,"tiga belas",,
"hopod om turu",seventeen,number,"tujuh belas",,
"hopod om walu",eighteen,number,"lapan belas",,
horogo,price,noun,harga,"ideas & emotions",
hulu,fur,noun,bulu,animals,tobuk
hulu,feather,noun,bulu,"body, health & activities",
hulu,hair,noun,rambut,"body, health & activities",
huluan,hairy,adjective,berbulu,descriptive,
"humarap ih momumutanom doh atatap ih rasam montok tanom diyolo","farmers depend on regular rainfall for their crops",sentence,"petani bergantung kepada hujan yang tetap untuk tanaman mereka",declarative,
"humarap oku poh diya ti. aiso noh tomod tusin ku","I’m only counting on you. I really have no money",sentence,"saya berharap dengan kau saja ini. saya betul-betul tiada duit",declarative,
"humarap tomod doh rasam om pangairan ti momutanom","rice planting depends heavily on rainfall and irrigation",sentence,"penanaman padi sangat bergantung pada hujan dan pengairan",declarative,
hutil,hotel,noun,hotel,"places & buildings",
iad,untie,"verb ","membuka ikatan",root,
id,at,connector,di,preposition,
id,on,connector,di,preposition,
"id dobik","at the side",preposition,"di sisi",,
"id dohuri",behind,connector,"di belakang",preposition,
"id dompok","at the end",adverb,"di hujung",,
"id internet",online,noun,"dalam talian","ideas & emotions",
"id karajaon","at workplace",adverb,"di tempat kerja",,
"id kolimpupuson, nakaakun ngaii yolo dih sarat","in the end, they agreed to the terms",sentence,"akhirnya, mereka bersetuju dengan syarat tersebut",declarative,
"id kosuabon, sama-sama yahai mongoi joging","in the morning, we go jogging together",sentence,"pada waktu pagi, kami pergi berjoging bersama",declarative,
"id kotonobon",west,noun,"sebelah barat","places & buildings",
"id labus",outside,connector,"di luar",preposition,
"id pandapat ku, kalantoi ti ransangan ti","in my opinion, this plan will work",sentence,"pada pendapat saya, rancangan ini akan berjaya",declarative,
"id piolitan",between,connector,"di antara",preposition,
"id piolitan doh tulun togumu","among the people",sentence,"di kalangan orang ramai",declarative,
"id pogulu, tulun monulis doh surat mamakai longon","in the past, people wrote letters by hand",sentence,"pada masa lalu, orang menulis surat dengan tangan",declarative,
"id pomusarahan koimbagu, pinutusan dau doh tumimporon","on second thought, he decided to stay",sentence,"selepas berfikir semula, dia memutuskan untuk tinggal",declarative,
"id saralom dih pogibaras-barasan, ih usaha dih tiim tokoro nga koubasan mangan pokoroo","in that discussion, the efforts of the small team were often downplayed",sentence,"dalam perbincangan itu, usaha pasukan kecil sering diperkecilkan",declarative,
"id saralom doh keadaan miagal ti, ogumu haal obuli kajadi","in this situation, many things can happen",sentence,"dalam keadaan begini, banyak perkara boleh berlaku",declarative,
"id saralom haal diti, sotuju oku diya","on this matter, i agree with you",sentence,"dalam perkara ini, saya bersetuju dengan kamu",declarative,
"id saralom iso timpu","at the same time",sentence,"pada masa yang sama",declarative,
"id saralom kaadaan miagal diti, apatut ko'd bartanang","in situation like this, you should stay calm",sentence,"dalam keadaan seperti ini, kamu patut bertenang",declarative,
"id sawat",above,connector,"di atas",preposition,
"id siriba",below,connector,"di bawah",preposition,
"id siriba",beneath,connector,"di bawah",preposition,
"id siriba",down,connector,"di bawah",preposition,
"id siriba",under,connector,"di bawah",preposition,
"id siriba doh katil kanto pinoilihan ku dih dumpit","maybe I put my wallet under the bed",sentence,"mungkin saya letakkan dompet saya di bawah katil",declarative,
"id solimpuunon ii, minomonsoi Kinorohingan dih tawan om pomogunan","in the beginning, God created the heaven and the earth",sentence,"pada permulaannya, Tuhan telah mencipta langit dan bumi",declarative,
"id somok",near,connector,berdekatan,preposition,
"id suang",in,connector,"di dalam",preposition,
"id suang",inside,connector,"di dalam",preposition,
"id suang doh kalas, kogumuan asanangan momonsoi karaja id kumpulan","in the class, the majority prefers group work",sentence,"dalam kelas itu, majoriti lebih suka kerja berkumpulan",declarative,
"id tadau diri, minubah ngaii toinsanan","on that day, everything changed",sentence,"pada hari itu, segalanya berubah",declarative,
"id tamoak doh mija, haro buuk","on the table, there is a book",sentence,"di atas meja, terdapat sebuah buku",declarative,
"id tampak","on top",connector,"di atas",preposition,
"id tindalanon minuli, nokoruba oku doh tulanut","on the way back, I came across a snake",sentence,"dalam perjalanan balik, saya terjumpa seekor ular",declarative,
"id toning",beside,connector,berdekatan,preposition,
idu,"withdraw from","verb ",membuang,root,
"iduan doh waig sobolum mongomot","the water level is reduced before harvesting begins",sentence,"paras air dikurangkan sebelum penuaian bermula",declarative,
iduanai,"leave it",verb,tinggalkan,imperative,
"iduanai nopo ino durian. awagat kopio tokito ku","just leave the durian. I think it's too heavy",sentence,"tinggalkan saja durian itu. saya lihat ia terlalu berat",imperative,
iduo,"remove it","verb ",buangkan,imperative,
"iduo ih lapis id saralom doh kasut supaya oruhai okoring","remove the insoles from your shoes so they dry quickly",sentence,"tanggalkan alas dalam kasut anda supaa ia cepat kering",imperative,
iduon,remove,verb,buang,,pataamon
igitai,"hold on","verb ",pegang,imperative,
"igitai noh biik nu","please bring your bag ",sentence,"tolong bawa beg anda",imperative,
"igitai noh, ababak moti ino galas","Hold it carefully, or the glass will break",sentence,"pegang baik-baik , nanti pecah gelas itu",imperative,
igitan,"to be held",verb,"akan dipegang",,
igol,"dance (traditional dance)","verb ",menari,root,
ih,"that is",determiner,yang,,
"ih bahan dih tongogirot kadapat poposonong kualiti talun-alun","using stronger materials can improve road quality",sentence,"penggunaan bahan yang lebih kukuh boleh meningkatkan kualiti jalan",declarative,
"ih boros dih osopan popotuduk osonong didikan","polite speech shows good upbringing",sentence,"pertuturan yang sopan menunjukkan didikan yang baik",declarative,
"ih gambar dih rabas dau minimbulai id nipi ku","the image of his face appeared in my dream",sentence,"bayangan wajahnya muncul dalam mimpi saya",declarative,
"ih istana mamajaga doh tulun mantad doh musuh","castles protected people from enemies",sentence,"istana melindungi rakyat daripada musuh",declarative,
"ih John ih minomulanja di Mary suminikul hilo'd Rusia","John paid for Mary to go to school in Russia",sentence,"John yang belanja Mary bersekolah dih Rusia",declarative,
"ih John nooh obuli sumuang hilo’d sikul","only John is allowed to enter the school",sentence,"hanya John yang boleh masuk ke sekolah",declarative,
"ih John nopo nga budak sikul paling osiriba hilo'd sikul","John is the shortest student in the school",sentence,"John adalah pelajar yang paling rendah di sekolah",declarative,
"ih John nopo nga budak sikul paling taranggau hilo'd kalas","John is the tallest student in the class",sentence,"John ialah pelajar yang paling tinggi di dalam kelas",declarative,
"ih John nopo nga paling mosikin hilo'd sikul","John is the poorest in the school",sentence,"John adalah yang paling miskin di sekolah",declarative,
"ih John pinapajaring gol kumoinsan","John scored the first goal",sentence,"John telah menjaringkan gol pertama",declarative,
"ih John tanak ku kumosiam","John is my ninth child",sentence,"John adalah anak saya  yang kesembilan",declarative,
"ih kikiri dau pinopojatuh sinta doho","her touch made me fall in love",sentence,"sentuhannya membuat aku jatuh cinta",declarative,
"ih kolisihan",darling,noun,sayang,"people & roles",
"ih kolisihan",beloved,noun,"yang dikasihi","people & roles",
"ih kopuhangon dau ih nakatarik ginawo doho","her generosity has won my heart",sentence,"sikap pemurahnya telah menarik hati saya",declarative,
"ih kosusao dih karaja sabab dih kalambaton","the complexity of the task caused delays",sentence,"kerumitan tugasan itu menyebabkan kelewatan",declarative,
"ih misin dih ogirot kangaam montok karaja tangaagat","robust equipment is suitable for heavy use",sentence,"peralatan yang lasak sesuai untuk kegunaan berat",declarative,
"ih nakamanang","the winner",noun,pemenang,"people & roles",
"ih notondos","the accused",noun,"yang tertuduh",,
"ih pangadal sabab tokou naala","the referee cost us the game",sentence,"pengadil menyebabkan kita kalah perlawanan",declarative,
